iter	Passed	Remaining
0	1	101
1	1	81
2	2	79
3	2	69
4	3	66
5	4	65
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	8	58
12	8	58
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	53
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	25
55	31	25
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	56	1
98	56	0
99	57	0
