iter	Passed	Remaining
0	92	92154
1	93	46450
2	94	31329
3	96	24147
4	98	19511
5	99	16427
6	100	14263
7	101	12632
8	103	11369
9	104	10347
10	106	9588
11	107	8873
12	109	8280
13	110	7754
14	110	7269
15	111	6856
16	112	6498
17	113	6179
18	114	5890
19	114	5629
20	115	5390
21	116	5174
22	117	4971
23	117	4783
24	118	4610
25	118	4449
26	119	4299
27	119	4159
28	120	4031
29	120	3910
30	121	3795
31	122	3698
32	123	3610
33	124	3528
34	125	3446
35	125	3366
36	126	3289
37	127	3215
38	127	3143
39	128	3074
40	128	3009
41	129	2947
42	129	2887
43	130	2831
44	130	2776
45	131	2724
46	131	2674
47	132	2626
48	132	2580
49	133	2537
50	134	2496
51	134	2457
52	135	2417
53	135	2380
54	136	2346
55	137	2316
56	138	2283
57	138	2250
58	139	2218
59	139	2187
60	140	2158
61	140	2129
62	141	2101
63	141	2073
64	142	2046
65	142	2021
66	143	1996
67	143	1971
68	144	1948
69	145	1926
70	145	1905
71	146	1885
72	146	1864
73	147	1844
74	147	1824
75	148	1806
76	149	1788
77	149	1769
78	150	1752
79	150	1734
80	151	1718
81	152	1702
82	152	1683
83	153	1669
84	153	1654
85	154	1641
86	155	1626
87	155	1611
88	156	1597
89	156	1583
90	157	1570
91	157	1557
92	158	1544
93	159	1532
94	159	1519
95	160	1507
96	160	1494
97	161	1482
98	161	1470
99	162	1459
100	162	1449
101	163	1439
102	164	1429
103	164	1418
104	165	1408
105	165	1398
106	166	1388
107	167	1379
108	167	1370
109	168	1361
110	168	1352
111	169	1342
112	169	1334
113	170	1325
114	171	1317
115	171	1309
116	172	1299
117	172	1292
118	173	1284
119	174	1277
120	174	1270
121	175	1262
122	176	1254
123	176	1247
124	177	1240
125	177	1233
126	178	1225
127	178	1218
128	179	1210
129	179	1203
130	180	1197
131	181	1191
132	182	1187
133	182	1182
134	183	1176
135	184	1171
136	184	1165
137	185	1159
138	186	1153
139	186	1146
140	187	1140
141	187	1133
142	188	1127
143	188	1120
144	189	1114
145	189	1108
146	190	1102
147	190	1096
148	191	1091
149	191	1085
150	192	1080
151	192	1074
152	193	1069
153	193	1064
154	194	1058
155	194	1054
156	195	1049
157	196	1044
158	196	1041
159	197	1037
160	198	1032
161	198	1027
162	199	1022
163	199	1018
164	200	1015
165	201	1011
166	202	1008
167	202	1003
168	203	998
169	203	994
170	204	990
171	204	985
172	205	981
173	205	977
174	206	973
175	206	968
176	207	964
177	207	960
178	208	956
179	209	952
180	209	948
181	210	945
182	210	941
183	211	938
184	212	935
185	213	933
186	213	930
187	214	926
188	215	922
189	215	919
190	216	915
191	216	911
192	217	908
193	217	904
194	218	901
195	218	897
196	219	893
197	219	890
198	220	886
199	220	883
200	221	880
201	222	877
202	222	874
203	223	871
204	223	867
205	224	864
206	224	861
207	225	858
208	226	855
209	226	852
210	227	850
211	228	848
212	228	845
213	229	842
214	230	839
215	230	837
216	231	833
217	231	830
218	232	827
219	232	824
220	233	821
221	233	818
222	234	815
223	234	813
224	235	810
225	235	807
226	236	805
227	237	802
228	237	800
229	238	797
230	238	794
231	239	792
232	239	789
233	240	786
234	240	784
235	241	782
236	242	779
237	242	777
238	243	774
239	243	772
240	244	769
241	245	767
242	245	764
243	246	762
244	246	760
245	247	758
246	247	755
247	248	753
248	248	750
249	249	748
250	249	745
251	250	743
252	250	740
253	251	738
254	251	736
255	252	733
256	253	731
257	253	729
258	254	726
259	254	724
260	255	722
